,steam_id,items_count
15810,76561198049648545,42
15852,76561198064054499,173
16025,76561198064469140,71
16096,76561198071836696,38
16134,76561198090715178,82
16216,76561198126693531,28
16244,76561198073784601,69
16313,76561198098305358,191
16504,76561198102410011,22
16526,76561198092276029,17
16543,76561198157999555,3
16546,76561198027947401,27
16573,76561198228257988,50
16623,76561198074200011,4
16627,76561198026525528,461
17088,76561198059515552,34
17122,76561198121529183,48
17170,76561198079106676,83
17253,76561198092244787,33
17286,76561198003388886,75
17361,76561197990792016,113
17474,76561198086661549,186
17660,76561198073987767,24
17684,76561198175213762,8
17692,76561198092150873,75
17767,76561198168665156,70
17837,76561198071472087,17
17854,76561198078378562,45
17899,76561197994493402,151
18050,76561198065656175,110
18160,76561198188979775,8
18168,76561198090575193,22
18190,76561198080439887,49
18239,76561198126640317,27
18266,76561198083882871,106
18372,76561198010679125,200
18572,76561198072706529,59
18631,76561198215949741,2
18633,76561198086990597,185
18818,76561198081394779,213
19031,76561198085068505,78
19109,76561198141443390,107
19216,76561198031924053,4
19220,76561198097333029,23
19243,76561198069196370,16
19259,76561198073910768,41
19300,76561198072205329,21
19321,76561198040729204,76
19397,76561198042805870,162
19559,76561198049699081,176
19735,76561198060062487,5
19740,76561198050347115,95
19835,76561198141694336,91
19926,76561198049968536,53
19979,76561198056392326,141
20120,76561198077997412,160
20280,76561198074003102,9
20289,76561198078478151,23
20312,76561198069274972,37
20349,76561198043909770,307
20656,76561198066835162,112
20768,76561198069593452,34
20802,76561197997052702,92
20894,76561198095921854,82
20976,76561198160640899,391
21367,76561198067103238,26
21393,76561198081342211,49
21442,76561198034252291,56
21498,76561198067775813,179
21677,76561198043816230,55
21732,76561198044031549,112
21844,76561198088944293,131
21975,76561198061769804,40
22015,76561198051258119,73
22088,76561198065771371,64
22152,76561198053801332,76
22228,76561198059267109,41
22269,76561198109656922,43
22312,76561198149432604,14
22326,76561198031111554,39
22365,76561198000290610,70
22435,76561198039196279,104
22539,76561198090294067,59
22598,76561198069329007,1
22599,76561198068604808,105
22704,76561198055094875,41
22745,76561198049338296,75
22820,76561198203244300,40
22860,76561198092377415,51
22911,76561198095435043,83
22994,76561198115868847,33
23027,76561198047971656,5
23032,76561198031207016,41
23073,76561198089077856,4
23077,76561198043458582,168
23245,76561198140446256,172
23417,76561198073360997,37
23454,76561198062876401,153
23607,76561198011661078,11
23618,76561198047569011,116
23734,76561197991074667,14
23748,76561198033203747,110
23858,76561198047630659,133
23991,76561198069713121,115
24106,76561198086801155,7
24113,76561198076248461,19
24132,76561198058095161,197
24329,76561198080832419,10
24339,76561198151645088,27
24366,76561198007380166,195
24561,76561198106147641,30
24591,76561198060039459,35
24626,76561198049756768,125
24751,76561198065593074,111
24862,76561198086168469,81
24943,76561198044169764,57
25000,76561198074141366,19
25019,76561198092019152,27
25046,76561198082845362,6
25052,76561198087767019,25
25077,76561198045506359,15
25092,76561198087010391,7
25099,76561198004054805,121
25220,76561198061174192,131
25351,76561198053143446,114
25465,76561198069676842,106
25571,76561198036810834,113
25684,76561198042730234,36
25720,76561198069159579,25
25745,76561198086476445,18
25763,76561198085016240,59
25822,76561198060808273,310
26132,76561198084390807,26
26158,76561198003688205,7
26165,76561198070257177,365
26530,76561198160377098,40
26570,76561198028286104,30
26600,76561198088447673,36
26636,76561198063067690,193
26829,76561197995287773,250
27079,76561198089643196,57
27136,76561198092383889,19
27155,76561198286931078,3
27158,76561198084698198,143
27301,76561198104393251,51
27352,76561198049508546,58
27410,76561198075322986,91
27501,76561198055786387,65
27566,76561198151910904,38
27604,76561198066902183,108
27712,76561198071214618,93
27805,76561198115115631,58
27863,76561198047046499,33
27896,76561198071175142,67
27963,76561198191333731,70
28033,76561198052736868,100
28133,76561198088147599,96
28229,76561198080807756,33
28262,76561198067512897,18
28280,76561198032786959,49
28329,76561198059519402,66
28395,76561198045754869,124
28519,76561198076098774,9
28528,76561198074963071,24
28552,76561198103253374,26
28578,76561198048417105,12
28590,76561197989175394,31
28621,76561198090842891,40
28661,76561198058706736,20
28681,76561198055767971,95
28776,76561197998052647,113
28889,76561198123280390,137
29026,76561198145436942,34
29060,76561198046015922,153
29213,76561198063595238,191
29404,76561198085452091,44
29448,76561198071253729,43
29491,76561198064608459,113
29604,76561198041808338,81
29685,76561198016685643,124
29809,76561198079990063,26
29835,76561198087332642,114
29949,76561198051017916,763
30712,76561198050176480,74
30786,76561198057408937,29
30815,76561198096766604,48
30863,76561198042796550,130
30993,76561197995322437,36
31029,76561198070484359,196
31225,76561198066840831,7
31232,76561198096220900,38
31270,76561198084542731,61
31331,76561198054734103,24
31355,76561198102121026,1
31356,76561198103671881,96
31452,76561197974266367,791
32243,76561198006592023,64
32307,76561197970628046,83
32390,76561198013858002,40
32430,76561198058570014,67
32497,76561198045133986,43
32540,76561198002820828,129
32669,76561198018683659,723
33392,76561198092227136,333
33725,76561198089539976,55
33780,76561198007584361,138
33918,76561198061137771,279
34197,76561198072341833,86
34283,76561198055973093,135
34418,76561198080534850,63
34481,76561197978442610,106
34587,76561198083940248,24
34611,76561198054040292,90
34701,76561198155458511,56
34757,76561198067520555,154
34911,76561198077035732,14
34925,76561198072625764,44
34969,76561198070273727,13
34982,76561198050771457,22
35004,76561198095708135,690
35694,76561198080881726,43
35737,76561198055320702,122
35859,76561198063584783,261
36120,76561198072918306,121
36241,76561198248835684,6
36247,76561197962104795,79
36326,76561198054465623,230
36556,76561198074257942,178
36734,76561198084687167,36
36770,76561197975146915,664
37434,76561198057005123,46
37480,76561198037346576,89
37569,76561198119635144,53
37622,76561198052108889,255
37877,76561198044300314,184
38061,76561198087436922,114
38175,76561198065500375,75
38250,76561198074644990,132
38382,76561198064304806,36
38418,76561198069126647,90
38508,76561198044661522,63
38571,76561198057086148,66
38637,76561198103673180,128
38765,76561198067150343,105
38870,76561198001612399,404
39274,76561198049455674,40
39314,76561198091378873,138
39452,76561197997824340,255
39707,76561198076154360,18
39725,76561198055524901,28
39753,76561198060344583,250
40003,76561198081816492,164
40167,76561198167207237,58
40225,76561198042686759,50
40275,76561198050553065,55
40330,76561198073508075,47
40377,76561198090899557,62
40439,76561198072468669,12
40451,76561198053319942,92
40543,76561198029864696,104
40647,76561198055363234,66
40713,76561198060820384,24
40737,76561198063624801,87
40824,76561198107138336,55
40879,76561198170477598,59
40938,76561198085732302,30
40968,76561198029090446,79
41047,76561197968819541,39
41086,76561198015968275,278
41364,76561198052049909,54
41418,76561198085624670,109
41527,76561198082614708,28
41555,76561198066465411,38
41593,76561198054531989,206
41799,76561198097012821,83
41882,76561198069056938,113
41995,76561198047923966,15
42010,76561198068565589,120
42130,76561198031629115,62
42192,76561198031955420,89
42281,76561198076727678,390
42671,76561198265081359,16
42687,76561198046844795,11
42698,76561198067713802,46
42744,76561198187212131,29
42773,76561198069258468,51
42824,76561198068368825,47
42871,76561198127777505,11
42882,76561198003056556,557
43439,76561198063941075,228
43667,76561198088886304,97
43764,76561198094996791,207
43971,76561198056092813,236
44207,76561198095481910,74
44281,76561198089024454,54
44335,76561198034129825,111
44446,76561198164545985,4
44450,76561198060102025,26
44476,76561198068935240,90
44566,76561198036955150,24
44590,76561198018840908,101
44691,76561198040467599,53
44744,76561198075935236,42
44786,76561198080703915,114
44900,76561198057524205,104
45004,76561198075258452,50
45054,76561198062009245,22
45076,76561198113948502,101
45177,76561198048914936,35
45212,76561198064165439,57
45269,76561197996305896,72
45341,76561198109133095,99
45440,76561198009001563,245
45685,76561198016753953,31
45716,76561198044281309,78
45794,76561198127762021,44
45838,76561198047925260,116
45954,76561198057869849,84
46038,76561198055479817,160
46198,76561198003694107,51
46249,76561198098156489,57
46306,76561198040021446,57
46363,76561198035890730,30
46393,76561197971372464,1041
47434,76561198069170979,50
47484,76561198085956238,88
47572,76561198132540690,55
47627,76561198087759807,96
47723,76561198058301224,397
48120,76561198055326484,25
48145,76561198034868596,140
48285,76561198094461173,23
48308,76561198067449201,84
48392,76561198048401235,78
48470,76561198050465176,72
48542,76561198026258913,109
48651,76561198069560699,76
48727,76561198099625419,198
48925,76561198013091048,116
49041,76561198084032274,70
49111,76561198030772859,102
49213,76561198060146226,82
49295,76561198131002806,101
49396,76561198069005048,32
49428,76561198074664792,127
49555,76561198064433302,246
49801,76561198037038784,136
49937,76561198046317409,48
49985,76561198037888300,124
50109,76561198080548524,65
50174,76561198086384812,76
50250,76561198091761253,35
50285,76561197992148038,523
50808,76561198084123358,35
50843,76561198034942509,212
51055,76561198032377745,71
51126,76561198053619146,63
51189,76561198056692523,81
51270,76561198075053271,62
51332,76561198039441595,389
51721,76561198036687918,130
51851,76561198070628567,96
51947,76561198083557617,105
52052,76561198052921535,54
52106,76561198107355391,45
52151,76561198071475367,37
52188,76561198011684252,331
52519,76561198005934962,296
52815,76561198065064829,10
52825,76561198031162085,86
52911,76561198012909706,182
53093,76561198056946489,21
53114,76561198011336251,264
53378,76561198040530605,120
53498,76561197974500703,309
53807,76561198047185525,114
53921,76561198097707197,8
53929,76561198067188826,34
53963,76561198061147800,62
54025,76561197974465310,72
54097,76561198067808950,107
54204,76561198082360492,53
54257,76561198088538797,53
54310,76561198089844789,43
54353,76561198072861800,7
54360,76561198071483936,119
54479,76561198045715119,120
54599,76561198088670023,54
54653,76561198081028176,66
54719,76561198325896496,6
54725,76561198104386187,119
54844,76561198057323866,85
54929,76561198020928326,110
55039,76561198045570160,131
55170,76561198083884120,38
55208,76561198039667033,222
55430,76561198039874575,103
55533,76561198089824807,131
55664,76561198042389215,170
55834,76561198006534186,81
55915,76561198102226879,12
55927,76561198066630066,167
56094,76561198074783119,267
56361,76561198041877981,83
56444,76561198059173677,119
56563,76561198089950447,40
56603,76561198054496878,174
56777,76561198096088167,12
56789,76561198100436187,87
56876,76561198063903340,38
56914,76561198090520850,104
57018,76561198082992295,21
57039,76561198027993240,48
57087,76561198096064761,12
57099,76561198064352761,117
57216,76561198027176626,165
57381,76561198019431054,137
57518,76561198056770012,297
57815,76561198078867478,126
57941,76561198091740831,25
57966,76561198095380303,68
58034,76561198052003136,27
58061,76561198072886602,126
58187,76561198044571371,181
58368,76561198030943851,81
58449,76561198060037470,136
58585,76561198053071988,174
58759,76561198049650023,22
58781,76561198083375450,215
58996,76561198007437864,460
59456,76561198076984454,31
59487,76561198091054851,144
59631,76561198096240087,46
59677,76561197999326884,49
59726,76561198150875994,92
59818,76561198009353440,43
59861,76561198082020576,47
59908,76561198088436468,52
59960,76561198074228269,2
59962,76561198080015704,27
59989,76561198040602004,75
60064,76561198082959786,25
60089,76561198064150679,86
60175,76561198110293299,80
60255,76561198026500891,105
60360,76561198075881644,53
60413,76561198071748311,29
60442,76561198048639345,136
60578,76561198048900256,44
60622,76561197964215262,73
60695,76561197997534851,167
60862,76561198076301023,12
60874,76561198038664557,232
61106,76561198065247809,170
61276,76561198086081043,54
61330,76561198064199288,183
61513,76561198045742150,130
61643,76561198066255404,128
61771,76561197962403792,134
61905,76561197974106883,20
61925,76561198072107662,72
61997,76561197970168558,33
62030,76561198071797390,20
62050,76561198227794828,53
62103,76561198083985672,32
62135,76561198118595651,35
62170,76561198107930572,51
62221,76561198044742654,37
62258,76561198018950738,138
62396,76561198004968304,168
62564,76561198064579722,54
62618,76561198043890597,72
62690,76561198091215848,97
62787,76561198044593618,41
62828,76561198074409406,57
62885,76561198049617612,102
62987,76561198033993807,86
63073,76561198075444114,43
63116,76561198005849033,199
63315,76561198076548816,73
63388,76561198075039895,35
63423,76561198084316222,56
63479,76561198218877443,3
63482,76561198070149038,31
63513,76561197994407780,21
63534,76561198035548591,15
63549,76561198081021515,122
63671,76561198108641918,42
63713,76561198057711253,191
63904,76561198071872532,26
63930,76561198089414638,126
64056,76561198084280687,197
64253,76561198083661294,1
64254,76561198043660058,118
64372,76561198095142204,71
64443,76561198034974534,121
64564,76561198070735033,130
64694,76561198018560501,44
64738,76561198010642927,196
64934,76561198051148175,55
64989,76561198047208452,285
65274,76561198035099927,59
65333,76561198027831921,14
65347,76561198070081938,255
65602,76561198071234254,50
65652,76561198165870150,38
65690,76561198083049918,36
65726,76561198072652548,102
65828,76561198092508814,601
66429,76561198071162228,40
66469,76561198084478833,117
66586,76561198047304525,177
66763,76561198068855162,115
66878,76561197994969639,69
66947,76561198200015694,30
66977,76561198064016444,58
67035,76561198044182857,56
67091,76561197960694096,187
67278,76561198079788896,102
67380,76561198088398113,54
67434,76561198095218545,87
67521,76561198067021476,44
67565,76561198190487725,38
67603,76561198045071942,67
67670,76561198027081791,328
67998,76561198077820099,29
68027,76561198027046431,63
68090,76561198087471896,13
68103,76561198082863312,8
68111,76561198077285385,59
68170,76561198088407186,139
68309,76561198021712879,264
68573,76561198069143001,62
68635,76561198074755143,229
68864,76561198079216484,158
69022,76561198075175410,83
69105,76561198045214274,40
69145,76561198062205562,128
69273,76561198050404009,51
69324,76561198030636321,139
69463,76561198007342405,214
69677,76561198081885254,34
69711,76561198060719404,39
69750,76561198048370750,58
69808,76561198035363871,129
69937,76561198156157448,22
69959,76561198059368921,132
70091,76561198018845815,63
70154,76561198017794638,78
70232,76561198056980314,74
70306,76561198077586769,66
70372,76561198043296029,49
70421,76561197966132503,385
70806,76561198028483487,88
70894,76561198075122935,54
70948,76561198081496844,80
71028,76561197969841865,66
71094,76561197989390390,17
71111,76561198087322051,45
71156,76561198053775195,16
71172,76561198066797197,125
71297,76561198069125112,269
71566,76561198090119638,7
71573,76561198039778856,114
71687,76561198035782795,96
71783,76561198077278011,84
71867,76561197988863895,97
71964,76561198077116471,7
71971,76561198007478325,421
72392,76561197988976770,46
72438,76561198171166530,15
72453,76561198071216195,75
72528,76561198044500343,81
72609,76561198057521157,88
72697,76561198053766465,73
72770,76561198083368833,82
72852,76561198006893092,104
72956,76561198082282442,22
72978,76561198095017709,65
73043,76561198030735076,46
73089,76561197971857001,1280
74369,76561198066253111,48
74417,76561198054184029,111
74528,76561197982825956,398
74926,76561198070259755,11
74937,76561198044344399,84
75021,76561197999613236,247
75268,76561198065380469,39
75307,76561198062288797,48
75355,76561197989449545,49
75404,76561198063180875,137
75541,76561198078156208,63
75604,76561198068305940,39
75643,76561198088996315,199
75842,76561198062403736,118
75960,76561198073642113,76
76036,76561198055648263,81
76117,76561198055862832,263
76380,76561198086083118,79
76459,76561198211433640,14
76473,76561198047032085,2
76475,76561198065377026,10
76485,76561198064694906,44
76529,76561198075040478,45
76574,76561198064747645,95
76669,76561198083366241,29
76698,76561198091679009,70
76768,76561198049456280,191
76959,76561198017924351,145
77104,76561198027225504,161
77265,76561198109890020,156
77421,76561198048500278,15
77436,76561198041245503,63
77499,76561198066166170,27
77526,76561198009437435,244
77770,76561198094177304,122
77892,76561198069093971,17
77909,76561198060697096,111
78020,76561197977543317,159
78179,76561197961575101,144
78323,76561198075914561,109
78432,76561198007539695,1044
79476,76561198064026657,193
79669,76561198024450886,40
79709,76561198057745573,11
79720,76561198072532181,583
80303,76561198074377328,158
80461,76561198095132561,264
80725,76561198068581244,19
80744,76561198031904680,89
80833,76561198079362142,42
80875,76561198044351307,87
80962,76561198040467357,459
81421,76561198170063410,23
81444,76561198155439370,54
81498,76561198012192548,116
81614,76561198092607786,99
81713,76561198046094676,154
81867,76561198087095625,44
81911,76561198067411400,237
82148,76561198082582573,55
82203,76561198053917005,56
82259,76561198067729563,21
82280,76561198071647862,54
82334,76561198143997105,25
82359,76561198088957798,76
82435,76561197988846047,204
82639,76561198092232049,96
82735,76561198079351819,35
82770,76561198023721166,171
82941,76561198065166613,42
82983,76561198106328653,5
82988,76561198067215145,83
83071,76561198110065267,101
83172,76561197996297264,253
83425,76561198079221660,96
83521,76561198059167106,66
83587,76561198105270589,55
83642,76561198068935801,46
83688,76561198061749928,146
83834,76561198089820597,223
84057,76561198041518533,99
84156,76561197989359805,8
84164,76561198103098166,9
84173,76561198070300902,70
84243,76561198025636863,15
84258,76561197978008006,33
84291,76561198074561346,94
84385,76561198094074209,157
84542,76561198054155652,347
84889,76561198036974255,91
84980,76561198020272265,175
85155,76561198180820691,19
85174,76561198101380486,91
85265,76561198069320654,57
85322,76561198087011672,57
85379,76561198101137754,75
85454,76561198075981950,77
85531,76561198105846578,97
85628,76561198075991823,18
85646,76561198079326390,120
85766,76561198142749308,91
85857,76561198059162034,55
85912,76561197975145008,128
86040,76561198057331222,60
86100,76561198112547239,118
86218,76561198028946962,71
86289,76561197994793863,81
86370,76561198097794993,23
86393,76561198073771299,190
86583,76561198083932637,95
86678,76561198026885444,177
86855,76561198069050565,69
86924,76561198029384965,208
87132,76561198082278758,38
87170,76561198053685392,200
87370,76561198081975172,93
87463,76561198044682452,191
87654,76561198059718900,169
87823,76561198061480029,112
87935,76561198045679186,112
88047,76561198051084367,92
88139,76561198044402508,93
88232,76561198081987102,74
88306,76561198089552840,33
88339,76561198084718144,38
88377,76561198077034833,12
88389,76561198045551885,377
88766,76561198088908490,80
88846,76561198027050521,94
88940,76561198056859428,52
88992,76561198073703056,288
89280,76561198052835715,176
89456,76561198079009374,101
89557,76561197992910116,184
89741,76561198079206742,58
89799,76561198043609375,87
89886,76561198039236799,22
89908,76561198072135441,86
89994,76561198062276935,185
90179,76561198097295378,18
90197,76561198036996272,122
90319,76561198095343243,6
90325,76561198048121243,220
90545,76561198072346152,8
90553,76561197989113830,384
90937,76561198078194423,50
90987,76561198067657905,51
91038,76561198070072786,86
91124,76561197966764681,223
91347,76561198007988939,41
91388,76561198150149340,20
91408,76561198067721589,126
91534,76561198069625777,14
91548,76561198049715896,56
91604,76561197996092338,347
91951,76561198050033941,87
92038,76561198077709322,131
92169,76561198045631910,48
92217,76561198063633577,21
92238,76561198060576252,9
92247,76561198078670623,48
92295,76561198062920282,70
92365,76561198058789410,38
92403,76561198050876555,20
92423,76561198059948130,77
92500,76561198038766477,97
92597,76561198070087725,107
92704,76561198042335464,98
92802,76561198091698258,8
92810,76561198052180785,171
92981,76561198061222572,81
93062,76561198053174885,113
93175,76561198045283919,36
93211,76561198081438874,81
93292,76561198078509867,248
93540,76561198046848291,79
93619,76561198065387781,57
93676,76561198072411281,74
93750,76561198053259222,91
93841,76561198162056324,16
93857,76561198240923172,32
93889,76561198030622101,113
94002,76561198020897913,163
94165,76561198098050912,45
94210,76561198068470706,260
94470,76561198069207428,573
95043,76561198067576443,35
95078,76561198060996316,185
95263,76561197983123822,154
95417,76561198057730824,6
95423,76561198069233677,167
95590,76561198077997574,85
95675,76561198081095968,35
95710,76561198065784635,93
95803,76561197971917242,62
95865,76561198086065782,46
95911,76561198083201608,52
95963,76561198048491595,247
96210,76561198074108172,55
96265,76561198028094250,52
96317,76561198088617152,106
96423,76561198078500447,115
96538,76561198114282815,104
96642,76561198051215704,88
96730,76561198069513853,122
96852,76561198067182841,29
96881,76561198127742020,66
96947,76561198066003101,149
97096,76561198283109848,24
97120,76561197960281419,26
97146,76561198027263304,64
97210,76561198025313381,223
97433,76561198049867810,129
97562,76561198050545643,166
97728,76561198074235306,251
97979,76561198058924783,29
98008,76561198077733060,20
98028,76561197994156537,56
98084,76561198091638558,96
98180,76561198076375452,98
98278,76561198040845885,85
98363,76561198126838278,72
98435,76561198001518866,6410
104845,76561198056960847,21
104866,76561198024006038,119
104985,76561198040655133,291
105276,76561197994523427,10
105286,76561198052700471,55
105341,76561198097450390,104
105445,76561197981448997,147
105592,76561198064984988,242
105834,76561198046429948,219
106053,76561198078733772,13
106066,76561198061273070,80
106146,76561198049434540,100
106246,76561198042965357,45
106291,76561198067673881,75
106366,76561198065663269,100
106466,76561197961840584,97
106563,76561198044805626,50
106613,76561198080622032,19
106632,76561198037342853,50
106682,76561198060835696,38
106720,76561198064483880,72
106792,76561197993752634,99
106891,76561198018913829,17
106908,76561198072208503,54
106962,76561198049608935,61
107023,76561198142474106,14
107037,76561198096160922,61
107098,76561198088661413,80
107178,76561198033422731,140
107318,76561198060510583,70
107388,76561198074561107,15
107403,76561197976842635,20
107423,76561198046034574,55
107478,76561198005413640,19
107497,76561198136322579,45
107542,76561198072852261,99
107641,76561198066789278,29
107670,76561198096170611,51
107721,76561198000398795,245
107966,76561198091318992,85
108051,76561198079650317,71
108122,76561198071207551,57
108179,76561198061039259,136
108315,76561198088627465,4
108319,76561198074202726,75
108394,76561198074347537,37
108431,76561198084239790,24
108455,76561198082626118,47
108502,76561198110476592,23
108525,76561198091507052,106
108631,76561198077903992,47
108678,76561198043339975,201
108879,76561198058866284,34
108913,76561198067414480,53
108966,76561198078246064,140
109106,76561198095765639,95
109201,76561198077538653,42
109243,76561198047177419,189
109432,76561198064841423,56
109488,76561198018592645,196
109684,76561198064919306,257
109941,76561198079756695,42
109983,76561198052655800,124
110107,76561198068254136,76
110183,76561198061456632,182
110365,76561198049614185,159
110524,76561198046958203,75
110599,76561198135044903,85
110684,76561198037893945,48
110732,76561198079770286,27
110759,76561198026344945,136
110895,76561198081437712,151
111046,76561198071448720,157
111203,76561198048134122,103
111306,76561198073807760,49
111355,76561198069839577,43
111398,76561198172099661,19
111417,76561198116243728,140
111557,76561198093387021,2
111559,76561198050296173,35
111594,76561198072691234,113
111707,76561198048509552,92
111799,76561198072445092,61
111860,76561198051864639,43
111903,76561198065679195,11
111914,76561198093828185,90
112004,76561198062535769,31
112035,76561198087476344,93
112128,76561198081677554,48
112176,76561198050044751,215
112391,76561198091515229,155
112546,76561198044373565,41
112587,76561198087449578,42
112629,76561198098805637,480
113109,76561197971591275,127
113236,76561198065379833,69
113305,76561198067923747,41
113346,76561198086931177,11
113357,76561198050928469,233
113590,76561198088687428,116
113706,76561198023630372,296
114002,76561198107928649,28
114030,76561198056352983,77
114107,76561198012202863,123
114230,76561198104404617,89
114319,76561198076906240,67
114386,76561198083468887,87
114473,76561198071955492,123
114596,76561198073799272,31
114627,76561198059296789,82
114709,76561198075796545,8
114717,76561198023724976,154
114871,76561198093722206,129
115000,76561198050299999,54
115054,76561198053073716,38
115092,76561198135673978,61
115153,76561198045148546,229
115382,76561198077244610,104
115486,76561198063850360,26
115512,76561198069905942,104
115616,76561198019273712,27
115643,76561198080465715,87
115730,76561198079372619,33
115763,76561198029895140,120
115883,76561198004738568,114
115997,76561198087693951,43
116040,76561198124547695,69
116109,76561197998325249,28
116137,76561198054739976,24
116161,76561198091425629,8
116169,76561198064305132,28
116197,76561198043008675,293
116490,76561198067214601,328
116818,76561198017913139,146
116964,76561198080168153,282
117246,76561198052271147,91
117337,76561198009774103,200
117537,76561197991697999,110
117647,76561198171090250,45
117692,76561198040892943,257
117949,76561198062213047,76
118025,76561198065836276,90
118115,76561198053521572,139
118254,76561198019737834,104
118358,76561198107811819,124
118482,76561198055338447,221
118703,76561198042921883,126
118829,76561198088394236,126
118955,76561198048024738,94
119049,76561198012858302,255
119304,76561198084976671,45
119349,76561198081404283,94
119443,76561198005096571,22
119465,76561198080459808,70
119535,76561197972185994,90
119625,76561198106478135,35
119660,76561198054793721,273
119933,76561198069253377,195
120128,76561198227736384,19
120147,76561198087515367,94
120241,76561198039197193,85
120326,76561198060007427,166
120492,76561197996190797,22
120514,76561197995146150,342
120856,76561198064374976,104
120960,76561198082559637,299
121259,76561198086717808,7
121266,76561198005111300,14
121280,76561198023175670,266
121546,76561198069345625,87
121633,76561198046589082,61
121694,76561198069334898,42
121736,76561198059201575,70
121806,76561198084697776,46
121852,76561198060901683,234
122086,76561198017487606,22
122108,76561198058929932,102
122210,76561198074763789,292
122502,76561198093384503,58
122560,76561198045755333,441
123001,76561198086980689,198
123199,76561198045342815,95
123294,76561198025075751,130
123424,76561197964506682,65
123489,76561198080199570,41
123530,76561197992227006,201
123731,76561197967415237,437
124168,76561198070775610,42
124210,76561198012514677,65
124275,76561198048133063,129
124404,76561198053111161,34
124438,76561198070562447,16
124454,76561198062767893,114
124568,76561198123005510,107
124675,76561198044888778,13
124688,76561198093370311,22
124710,76561198101576470,53
124763,76561198060104521,37
124800,76561198077033323,102
124902,76561198045068310,74
124976,76561198084220960,169
125145,76561198078106032,419
125564,76561198158154020,16
125580,76561198082590151,17
125597,76561198094963665,102
125699,76561198071744921,63
125762,76561197961573824,337
